,Conf,TP,FP,cumTP,cumFP,Precision,Recall
0,0.9903244972229004,1,0,1,0,1.0,0.0034602076124567475
1,0.9886870384216309,1,0,2,0,1.0,0.006920415224913495
2,0.9866324067115784,1,0,3,0,1.0,0.010380622837370242
3,0.9864984750747681,1,0,4,0,1.0,0.01384083044982699
4,0.9855944514274597,1,0,5,0,1.0,0.01730103806228374
5,0.9852832555770874,1,0,6,0,1.0,0.020761245674740483
6,0.9834960103034973,0,1,6,1,0.8571428571428571,0.020761245674740483
7,0.9826951622962952,1,0,7,1,0.875,0.02422145328719723
8,0.9804256558418274,1,0,8,1,0.8888888888888888,0.02768166089965398
9,0.979324996471405,1,0,9,1,0.9,0.031141868512110725
10,0.9779860377311707,1,0,10,1,0.9090909090909091,0.03460207612456748
11,0.9765868782997131,1,0,11,1,0.9166666666666666,0.03806228373702422
12,0.9765380024909973,1,0,12,1,0.9230769230769231,0.04152249134948097
13,0.9762244820594788,0,1,12,2,0.8571428571428571,0.04152249134948097
14,0.9760591983795166,1,0,13,2,0.8666666666666667,0.04498269896193772
15,0.9715538620948792,1,0,14,2,0.875,0.04844290657439446
16,0.9706799983978271,1,0,15,2,0.8823529411764706,0.05190311418685121
17,0.9706125259399414,1,0,16,2,0.8888888888888888,0.05536332179930796
18,0.9692057967185974,1,0,17,2,0.8947368421052632,0.058823529411764705
19,0.968761682510376,1,0,18,2,0.9,0.06228373702422145
20,0.9685900807380676,0,1,18,3,0.8571428571428571,0.06228373702422145
21,0.9681878685951233,1,0,19,3,0.8636363636363636,0.0657439446366782
22,0.9681332111358643,1,0,20,3,0.8695652173913043,0.06920415224913495
23,0.9671854376792908,0,1,20,4,0.8333333333333334,0.06920415224913495
24,0.9654833674430847,1,0,21,4,0.84,0.0726643598615917
25,0.9642011523246765,1,0,22,4,0.8461538461538461,0.07612456747404844
26,0.9639664888381958,1,0,23,4,0.8518518518518519,0.07958477508650519
27,0.9633275270462036,0,1,23,5,0.8214285714285714,0.07958477508650519
28,0.9622491598129272,0,1,23,6,0.7931034482758621,0.07958477508650519
29,0.9610031247138977,0,1,23,7,0.7666666666666667,0.07958477508650519
30,0.960961103439331,1,0,24,7,0.7741935483870968,0.08304498269896193
31,0.9608398079872131,1,0,25,7,0.78125,0.08650519031141868
32,0.9580726027488708,0,1,25,8,0.7575757575757576,0.08650519031141868
33,0.9576422572135925,1,0,26,8,0.7647058823529411,0.08996539792387544
34,0.9575843214988708,1,0,27,8,0.7714285714285715,0.09342560553633218
35,0.9575363397598267,1,0,28,8,0.7777777777777778,0.09688581314878893
36,0.9574940204620361,1,0,29,8,0.7837837837837838,0.10034602076124567
37,0.9522047638893127,1,0,30,8,0.7894736842105263,0.10380622837370242
38,0.951190173625946,1,0,31,8,0.7948717948717948,0.10726643598615918
39,0.9492887258529663,1,0,32,8,0.8,0.11072664359861592
40,0.9485694169998169,1,0,33,8,0.8048780487804879,0.11418685121107267
41,0.9485341310501099,0,1,33,9,0.7857142857142857,0.11418685121107267
42,0.9482066631317139,1,0,34,9,0.7906976744186046,0.11764705882352941
43,0.9474495053291321,1,0,35,9,0.7954545454545454,0.12110726643598616
44,0.9447661638259888,0,1,35,10,0.7777777777777778,0.12110726643598616
45,0.9434894323348999,1,0,36,10,0.782608695652174,0.1245674740484429
46,0.9428302645683289,0,1,36,11,0.7659574468085106,0.1245674740484429
47,0.9425546526908875,0,1,36,12,0.75,0.1245674740484429
48,0.9408466219902039,0,1,36,13,0.7346938775510204,0.1245674740484429
49,0.9405078887939453,0,1,36,14,0.72,0.1245674740484429
50,0.9398479461669922,1,0,37,14,0.7254901960784313,0.12802768166089964
51,0.9391263127326965,0,1,37,15,0.7115384615384616,0.12802768166089964
52,0.9378543496131897,1,0,38,15,0.7169811320754716,0.1314878892733564
53,0.9375628232955933,1,0,39,15,0.7222222222222222,0.13494809688581316
54,0.9346468448638916,0,1,39,16,0.7090909090909091,0.13494809688581316
55,0.9344279170036316,0,1,39,17,0.6964285714285714,0.13494809688581316
