,Conf,TP,FP,cumTP,cumFP,Precision,Recall
0,0.9903244972229004,1,0,1,0,1.0,0.003861003861003861
1,0.9886870384216309,1,0,2,0,1.0,0.007722007722007722
2,0.9866324067115784,0,1,2,1,0.6666666666666666,0.007722007722007722
3,0.9864984750747681,1,0,3,1,0.75,0.011583011583011582
4,0.9855944514274597,1,0,4,1,0.8,0.015444015444015444
5,0.9852832555770874,0,1,4,2,0.6666666666666666,0.015444015444015444
6,0.9834960103034973,0,1,4,3,0.5714285714285714,0.015444015444015444
7,0.9826951622962952,1,0,5,3,0.625,0.019305019305019305
8,0.9804256558418274,1,0,6,3,0.6666666666666666,0.023166023166023165
9,0.979324996471405,1,0,7,3,0.7,0.02702702702702703
10,0.9779860377311707,1,0,8,3,0.7272727272727273,0.03088803088803089
11,0.9765868782997131,1,0,9,3,0.75,0.03474903474903475
12,0.9765380024909973,1,0,10,3,0.7692307692307693,0.03861003861003861
13,0.9762244820594788,0,1,10,4,0.7142857142857143,0.03861003861003861
14,0.9760591983795166,0,1,10,5,0.6666666666666666,0.03861003861003861
15,0.9715538620948792,1,0,11,5,0.6875,0.04247104247104247
16,0.9706799983978271,1,0,12,5,0.7058823529411765,0.04633204633204633
17,0.9706125259399414,1,0,13,5,0.7222222222222222,0.05019305019305019
18,0.9692057967185974,1,0,14,5,0.7368421052631579,0.05405405405405406
19,0.968761682510376,1,0,15,5,0.75,0.05791505791505792
20,0.9685900807380676,0,1,15,6,0.7142857142857143,0.05791505791505792
21,0.9681878685951233,1,0,16,6,0.7272727272727273,0.06177606177606178
22,0.9681332111358643,1,0,17,6,0.7391304347826086,0.06563706563706563
23,0.9671854376792908,0,1,17,7,0.7083333333333334,0.06563706563706563
24,0.9654833674430847,1,0,18,7,0.72,0.0694980694980695
25,0.9642011523246765,1,0,19,7,0.7307692307692307,0.07335907335907337
26,0.9639664888381958,1,0,20,7,0.7407407407407407,0.07722007722007722
27,0.9633275270462036,0,1,20,8,0.7142857142857143,0.07722007722007722
28,0.9622491598129272,0,1,20,9,0.6896551724137931,0.07722007722007722
29,0.9610031247138977,0,1,20,10,0.6666666666666666,0.07722007722007722
30,0.960961103439331,1,0,21,10,0.6774193548387096,0.08108108108108109
31,0.9608398079872131,1,0,22,10,0.6875,0.08494208494208494
32,0.9580726027488708,0,1,22,11,0.6666666666666666,0.08494208494208494
33,0.9576422572135925,1,0,23,11,0.6764705882352942,0.0888030888030888
34,0.9575843214988708,1,0,24,11,0.6857142857142857,0.09266409266409266
35,0.9575363397598267,1,0,25,11,0.6944444444444444,0.09652509652509653
36,0.9574940204620361,1,0,26,11,0.7027027027027027,0.10038610038610038
37,0.9522047638893127,1,0,27,11,0.7105263157894737,0.10424710424710425
38,0.951190173625946,1,0,28,11,0.717948717948718,0.10810810810810811
39,0.9492887258529663,1,0,29,11,0.725,0.11196911196911197
40,0.9485694169998169,1,0,30,11,0.7317073170731707,0.11583011583011583
41,0.9485341310501099,0,1,30,12,0.7142857142857143,0.11583011583011583
42,0.9482066631317139,1,0,31,12,0.7209302325581395,0.11969111969111969
43,0.9474495053291321,1,0,32,12,0.7272727272727273,0.12355212355212356
44,0.9447661638259888,0,1,32,13,0.7111111111111111,0.12355212355212356
45,0.9434894323348999,1,0,33,13,0.717391304347826,0.1274131274131274
46,0.9428302645683289,0,1,33,14,0.7021276595744681,0.1274131274131274
47,0.9425546526908875,0,1,33,15,0.6875,0.1274131274131274
48,0.9408466219902039,0,1,33,16,0.673469387755102,0.1274131274131274
49,0.9405078887939453,0,1,33,17,0.66,0.1274131274131274
50,0.9398479461669922,1,0,34,17,0.6666666666666666,0.13127413127413126
51,0.9391263127326965,0,1,34,18,0.6538461538461539,0.13127413127413126
52,0.9378543496131897,1,0,35,18,0.660377358490566,0.13513513513513514
53,0.9375628232955933,1,0,36,18,0.6666666666666666,0.138996138996139
54,0.9346468448638916,0,1,36,19,0.6545454545454545,0.138996138996139
55,0.9344279170036316,0,1,36,20,0.6428571428571429,0.138996138996139
56,0.9329578280448914,0,1,36,21,0.631578947368421,0.138996138996139
57,0.9315372109413147,0,1,36,22,0.6206896551724138,0.138996138996139
58,0.931348443031311,1,0,37,22,0.6271186440677966,0.14285714285714285
59,0.9311651587486267,0,1,37,23,0.6166666666666667,0.14285714285714285
60,0.9311321973800659,0,1,37,24,0.6065573770491803,0.14285714285714285
61,0.929792046546936,1,0,38,24,0.6129032258064516,0.14671814671814673
62,0.9297882318496704,0,1,38,25,0.6031746031746031,0.14671814671814673
63,0.9295557141304016,1,0,39,25,0.609375,0.15057915057915058
