,Conf,TP,FP,cumTP,cumFP,Precision,Recall
0,0.9951139688491821,0,1,0,1,0.0,0.0
1,0.9941262006759644,1,0,1,1,0.5,0.004329004329004329
2,0.993133544921875,0,1,1,2,0.3333333333333333,0.004329004329004329
3,0.9917084574699402,0,1,1,3,0.25,0.004329004329004329
4,0.9912931323051453,1,0,2,3,0.4,0.008658008658008658
5,0.9912005066871643,0,1,2,4,0.3333333333333333,0.008658008658008658
6,0.9911593794822693,1,0,3,4,0.42857142857142855,0.012987012987012988
7,0.9909433722496033,0,1,3,5,0.375,0.012987012987012988
8,0.9907317757606506,0,1,3,6,0.3333333333333333,0.012987012987012988
9,0.9901870489120483,0,1,3,7,0.3,0.012987012987012988
10,0.990123450756073,0,1,3,8,0.2727272727272727,0.012987012987012988
11,0.9897799491882324,1,0,4,8,0.3333333333333333,0.017316017316017316
12,0.9892390966415405,0,1,4,9,0.3076923076923077,0.017316017316017316
13,0.9887865781784058,0,1,4,10,0.2857142857142857,0.017316017316017316
14,0.9881609678268433,1,0,5,10,0.3333333333333333,0.021645021645021644
15,0.9880298972129822,1,0,6,10,0.375,0.025974025974025976
16,0.9872053861618042,0,1,6,11,0.35294117647058826,0.025974025974025976
17,0.9870649576187134,1,0,7,11,0.3888888888888889,0.030303030303030304
18,0.9867258071899414,0,1,7,12,0.3684210526315789,0.030303030303030304
19,0.9862732291221619,0,1,7,13,0.35,0.030303030303030304
20,0.9860123991966248,0,1,7,14,0.3333333333333333,0.030303030303030304
21,0.9853807091712952,1,0,8,14,0.36363636363636365,0.03463203463203463
22,0.9849532842636108,1,0,9,14,0.391304347826087,0.03896103896103896
23,0.9849326014518738,1,0,10,14,0.4166666666666667,0.04329004329004329
24,0.9849240779876709,0,1,10,15,0.4,0.04329004329004329
25,0.9839497804641724,0,1,10,16,0.38461538461538464,0.04329004329004329
26,0.9835882186889648,0,1,10,17,0.37037037037037035,0.04329004329004329
27,0.9834898710250854,1,0,11,17,0.39285714285714285,0.047619047619047616
28,0.9833819270133972,0,1,11,18,0.3793103448275862,0.047619047619047616
29,0.9827940464019775,0,1,11,19,0.36666666666666664,0.047619047619047616
30,0.9825923442840576,0,1,11,20,0.3548387096774194,0.047619047619047616
31,0.9822830557823181,0,1,11,21,0.34375,0.047619047619047616
32,0.9812793731689453,1,0,12,21,0.36363636363636365,0.05194805194805195
33,0.9808602333068848,0,1,12,22,0.35294117647058826,0.05194805194805195
34,0.980850338935852,0,1,12,23,0.34285714285714286,0.05194805194805195
35,0.9805793166160583,0,1,12,24,0.3333333333333333,0.05194805194805195
36,0.9804051518440247,1,0,13,24,0.35135135135135137,0.05627705627705628
37,0.9803388714790344,1,0,14,24,0.3684210526315789,0.06060606060606061
38,0.9801899790763855,0,1,14,25,0.358974358974359,0.06060606060606061
39,0.9787945747375488,0,1,14,26,0.35,0.06060606060606061
40,0.9783742427825928,0,1,14,27,0.34146341463414637,0.06060606060606061
41,0.9782805442810059,0,1,14,28,0.3333333333333333,0.06060606060606061
42,0.978278636932373,0,1,14,29,0.32558139534883723,0.06060606060606061
43,0.978244960308075,0,1,14,30,0.3181818181818182,0.06060606060606061
44,0.9781892895698547,1,0,15,30,0.3333333333333333,0.06493506493506493
45,0.9773592352867126,0,1,15,31,0.32608695652173914,0.06493506493506493
46,0.9768675565719604,0,1,15,32,0.3191489361702128,0.06493506493506493
47,0.9767820239067078,0,1,15,33,0.3125,0.06493506493506493
48,0.9764857292175293,0,1,15,34,0.30612244897959184,0.06493506493506493
49,0.9763992428779602,0,1,15,35,0.3,0.06493506493506493
50,0.9760718941688538,0,1,15,36,0.29411764705882354,0.06493506493506493
51,0.9759136438369751,0,1,15,37,0.28846153846153844,0.06493506493506493
52,0.9758398532867432,0,1,15,38,0.2830188679245283,0.06493506493506493
53,0.9757645726203918,0,1,15,39,0.2777777777777778,0.06493506493506493
54,0.9751954674720764,0,1,15,40,0.2727272727272727,0.06493506493506493
55,0.9750840663909912,0,1,15,41,0.26785714285714285,0.06493506493506493
56,0.9734359979629517,0,1,15,42,0.2631578947368421,0.06493506493506493
57,0.9731643795967102,0,1,15,43,0.25862068965517243,0.06493506493506493
58,0.9730942845344543,0,1,15,44,0.2542372881355932,0.06493506493506493
59,0.972729504108429,0,1,15,45,0.25,0.06493506493506493
60,0.9726811051368713,0,1,15,46,0.2459016393442623,0.06493506493506493
61,0.9725503921508789,0,1,15,47,0.24193548387096775,0.06493506493506493
62,0.9717229008674622,1,0,16,47,0.25396825396825395,0.06926406926406926
63,0.9714941382408142,0,1,16,48,0.25,0.06926406926406926
64,0.9714818596839905,0,1,16,49,0.24615384615384617,0.06926406926406926
65,0.9714763760566711,0,1,16,50,0.24242424242424243,0.06926406926406926
66,0.9708395600318909,0,1,16,51,0.23880597014925373,0.06926406926406926
67,0.9701253771781921,1,0,17,51,0.25,0.0735930735930736
68,0.9700908064842224,1,0,18,51,0.2608695652173913,0.07792207792207792
69,0.9700251817703247,0,1,18,52,0.2571428571428571,0.07792207792207792
70,0.9698972105979919,0,1,18,53,0.2535211267605634,0.07792207792207792
71,0.9693283438682556,0,1,18,54,0.25,0.07792207792207792
72,0.9689141511917114,0,1,18,55,0.2465753424657534,0.07792207792207792
73,0.9686907529830933,0,1,18,56,0.24324324324324326,0.07792207792207792
74,0.9685515761375427,1,0,19,56,0.25333333333333335,0.08225108225108226
75,0.968166708946228,0,1,19,57,0.25,0.08225108225108226
76,0.9681642651557922,0,1,19,58,0.24675324675324675,0.08225108225108226
77,0.9677812457084656,0,1,19,59,0.24358974358974358,0.08225108225108226
78,0.9660255908966064,0,1,19,60,0.24050632911392406,0.08225108225108226
79,0.9655724763870239,0,1,19,61,0.2375,0.08225108225108226
80,0.9651797413825989,0,1,19,62,0.2345679012345679,0.08225108225108226
81,0.9651060104370117,0,1,19,63,0.23170731707317074,0.08225108225108226
82,0.9649748206138611,0,1,19,64,0.2289156626506024,0.08225108225108226
83,0.9647455215454102,0,1,19,65,0.2261904761904762,0.08225108225108226
84,0.964460015296936,0,1,19,66,0.2235294117647059,0.08225108225108226
85,0.9643763899803162,0,1,19,67,0.22093023255813954,0.08225108225108226
86,0.9635269045829773,0,1,19,68,0.21839080459770116,0.08225108225108226
87,0.963115930557251,0,1,19,69,0.2159090909090909,0.08225108225108226
88,0.9630213975906372,0,1,19,70,0.21348314606741572,0.08225108225108226
89,0.9627253413200378,0,1,19,71,0.2111111111111111,0.08225108225108226
90,0.9626907706260681,0,1,19,72,0.2087912087912088,0.08225108225108226
91,0.9622884392738342,0,1,19,73,0.20652173913043478,0.08225108225108226
92,0.9618127942085266,0,1,19,74,0.20430107526881722,0.08225108225108226
93,0.9608636498451233,0,1,19,75,0.20212765957446807,0.08225108225108226
94,0.9602463841438293,0,1,19,76,0.2,0.08225108225108226
95,0.9600270390510559,0,1,19,77,0.19791666666666666,0.08225108225108226
96,0.9597340226173401,0,1,19,78,0.1958762886597938,0.08225108225108226
97,0.9596837162971497,1,0,20,78,0.20408163265306123,0.08658008658008658
98,0.959169864654541,0,1,20,79,0.20202020202020202,0.08658008658008658
99,0.9590131640434265,1,0,21,79,0.21,0.09090909090909091
100,0.958398163318634,1,0,22,79,0.21782178217821782,0.09523809523809523
101,0.958170473575592,0,1,22,80,0.21568627450980393,0.09523809523809523
102,0.9581542611122131,1,0,23,80,0.22330097087378642,0.09956709956709957
103,0.9579862952232361,1,0,24,80,0.23076923076923078,0.1038961038961039
104,0.9579821228981018,0,1,24,81,0.22857142857142856,0.1038961038961039
105,0.9578903913497925,0,1,24,82,0.22641509433962265,0.1038961038961039
106,0.9578298926353455,0,1,24,83,0.22429906542056074,0.1038961038961039
107,0.9575327038764954,1,0,25,83,0.23148148148148148,0.10822510822510822
108,0.9573721885681152,1,0,26,83,0.23853211009174313,0.11255411255411256
109,0.9565410614013672,0,1,26,84,0.23636363636363636,0.11255411255411256
110,0.9562897086143494,1,0,27,84,0.24324324324324326,0.11688311688311688
111,0.9560192227363586,0,1,27,85,0.24107142857142858,0.11688311688311688
112,0.9557856917381287,0,1,27,86,0.23893805309734514,0.11688311688311688
113,0.955544114112854,0,1,27,87,0.23684210526315788,0.11688311688311688
114,0.9551718831062317,0,1,27,88,0.23478260869565218,0.11688311688311688
